Code,Tên,Họ,Thời gian gieo trồng (tuần),Yêu cầu ánh sáng mặt trời, Sản lượng (kg) trên m2
1,Rau diếp,Asteraceae,5,0,"2"
2,Xà lách xoong,Asteraceae,5,0,"2"
3,XÀ LÁCH CUỘN,Asteraceae,5,0,"2"
4,Xà lách lolo,Asteraceae,5,0,"2"
5,Xà lách Ezabel,Asteraceae,5,0,"2"
6,Xà lách Radicchio,Asteraceae,5,0,"2"
7,Xà lách Salanova,Asteraceae,5,1,"2"
8,Cà tím Nhật Bản,Solanaceae,10,0,"3.0"
9,Mướp hương tươi,Cucurbitaceae,10,1,"4.0"
10,Ớt chuông xanh ,Solanaceae,13,0,"1.0"
11,Ớt chuông baby ,Solanaceae,13,0,"1.0"
12,Ớt xanh ,Solanaceae,16,1,"0.8"
13,Đậu Hà Lan,Fabaceae,7,1,"1.2"
14,Đậu cove đông lạnh ,Fabaceae,7,1,"1.2"
15,Rau dền,Fabaceae,4,1,"0.4"
16,Cần tây tươi ,Apiaceae,5,1,"4.0"
17,Rau cần,Apiaceae,4,1,"0.7"
