Revenue
13917
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,M,
2,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
3,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
4,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
5,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
6,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
7,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
8,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
9,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
10,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
11,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
12,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
13,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
14,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
15,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
16,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
17,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
18,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
19,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
20,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
21,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
22,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
23,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
24,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
25,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
26,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
27,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
28,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
29,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
30,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
31,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
32,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
33,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
34,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
35,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
36,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
37,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
38,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
39,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
40,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
41,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
42,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
43,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
44,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
45,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
46,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
47,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
48,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
49,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
50,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
51,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
52,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
53,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
54,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
55,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
56,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
57,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
58,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
59,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
60,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
61,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
62,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
63,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
64,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
65,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
66,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
67,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
68,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
69,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
70,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
71,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
72,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
73,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
74,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
75,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
76,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
77,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
78,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
79,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
80,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
81,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
82,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
83,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
84,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
85,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
86,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
87,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
88,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
89,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
90,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
91,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
92,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
93,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
94,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
95,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
96,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
97,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
98,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
99,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
100,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
