Revenue
1658.4
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,M,
2,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
3,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
4,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
5,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
6,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
7,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
8,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
9,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
10,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
11,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,
12,18,18,18,18,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
